Percentage served,Time in ms
0,50.342
1,164.674
2,263.428
3,365.403
4,471.466
5,509.917
6,524.674
7,532.004
8,537.067
9,541.506
10,544.691
11,546.835
12,549.651
13,552.908
14,555.818
15,557.882
16,562.168
17,564.282
18,564.879
19,573.271
20,575.254
21,576.047
22,577.984
23,581.771
24,583.361
25,585.639
26,590.728
27,593.196
28,595.770
29,598.214
30,600.297
31,601.453
32,605.441
33,608.343
34,611.184
35,612.337
36,614.950
37,618.863
38,621.636
39,623.661
40,624.952
41,626.808
42,629.088
43,630.687
44,633.639
45,636.682
46,638.370
47,639.614
48,641.725
49,645.064
50,646.301
51,648.383
52,650.517
53,652.687
54,656.205
55,661.090
56,664.314
57,666.828
58,669.013
59,674.003
60,678.345
61,685.145
62,691.826
63,696.517
64,706.486
65,721.156
66,724.588
67,728.802
68,735.140
69,745.410
70,748.794
71,755.295
72,765.135
73,775.117
74,799.330
75,853.150
76,987.846
77,1028.538
78,1056.470
79,1083.750
80,1096.479
81,1138.750
82,1172.222
83,1223.200
84,1226.855
85,1241.576
86,1284.761
87,1313.494
88,1319.710
89,1350.271
90,1413.722
91,1447.441
92,1458.171
93,1526.544
94,1654.883
95,1761.732
96,1822.951
97,1853.766
98,1894.247
99,1940.707
100,2269.248
